Cast1,Cast2,Cast3,Country1,Country2,Country3,Country4,Date Added,Director1,Director2,Director3,Duration,Genre1,Genre2,Genre3,Rating,Release Year,Show Id,Title,Type,F1
Gary Oldman, Asa Butterfield, Carla Gugino,United States,NA,NA,NA,6/1/2019,Peter Chelsom,NA,NA,120 min,Action & Adventure, Romantic Movies, Sci-Fi & Fantasy,PG-13,7/10/1905,s8513,The Space Between Us,Movie,8513
Fred Ward, Chris Gartin, Helen Shaver,,NA,NA,NA,1/1/2020,S.S. Wilson,NA,NA,100 min,Comedies, Horror Movies, Sci-Fi & Fantasy,PG-13,6/19/1905,s8623,Tremors 2: Aftershocks,Movie,8623
Michael Gross, Sara Botsford, Billy Drago,United States,NA,NA,NA,1/1/2020,S.S. Wilson,NA,NA,101 min,Comedies, Horror Movies, Sci-Fi & Fantasy,PG-13,6/28/1905,s8625,Tremors 4: The Legend Begins,Movie,8625
Michael Gross, Jamie Kennedy, Ernest Ndhlovu,South Africa, United States,NA,NA,1/1/2020,Don Michael Paul,NA,NA,99 min,Comedies, Horror Movies, Sci-Fi & Fantasy,PG-13,7/9/1905,s8626,Tremors 5:  Bloodline,Movie,8626
Rachel McAdams, Eric Bana, Arliss Howard,United States,NA,NA,NA,10/1/2019,Robert Schwentke,NA,NA,107 min,Dramas, Romantic Movies, Sci-Fi & Fantasy,PG-13,7/3/1905,s8533,The Time Traveler's Wife,Movie,8533
Nicholas Hoult, Kristen Stewart, Jacki Weaver,United States, Indonesia,NA,NA,10/28/2018,Drake Doremus,NA,NA,102 min,Dramas, Romantic Movies, Sci-Fi & Fantasy,PG-13,7/9/1905,s6703,Equals,Movie,6703
Hugh Jackman, Dakota Goyo, Evangeline Lilly,United States, India,NA,NA,9/24/2020,Shawn Levy,NA,NA,127 min,Action & Adventure, Sci-Fi & Fantasy, Sports Movies,PG-13,7/5/1905,s1958,Real Steel,Movie,1958
Woody Harrelson, Randy Quaid, Vanessa Angel,United States,NA,NA,NA,1/1/2020,Peter Farrelly, Bobby Farrelly,NA,114 min,Comedies, Cult Movies, Sports Movies,PG-13,6/20/1905,s7211,Kingpin,Movie,7211
Gerard Butler, Jessica Biel, Catherine Zeta-Jones,United States,NA,NA,NA,1/3/2021,Gabriele Muccino,NA,NA,106 min,Comedies, Romantic Movies, Sports Movies,PG-13,7/6/1905,s1445,Playing for Keeps,Movie,1445
Ayrton Senna, Alain Prost, Frank Williams,United Kingdom, France, United States,NA,10/1/2019,Asif Kapadia,NA,NA,106 min,Documentaries, International Movies, Sports Movies,PG-13,7/4/1905,s7982,Senna,Movie,7982
,NA,NA,United Kingdom,NA,NA,NA,8/26/2020,,NA,NA,107 min,Documentaries, International Movies, Sports Movies,PG-13,7/14/1905,s2098,Rising Phoenix,Movie,2098
Carson Meyer, Noah Centineo, Bianca Santos,United States,NA,NA,NA,10/30/2017,Alex Israel,NA,NA,75 min,Dramas, Romantic Movies, Sports Movies,PG-13,7/11/1905,s5199,SPF-18,Movie,5199
Matt Bomer, Josh Wiggins, Bill Pullman,United States,NA,NA,NA,10/1/2019,Alex Smith, Andrew J. Smith,NA,96 min,Dramas, Independent Movies, Thrillers,PG-13,7/11/1905,s8694,Walking Out,Movie,8694
Matthias Schoenaerts, Léa Seydoux, Colin Firth,France, Belgium, Luxembourg, Romania,10/19/2019,Thomas Vinterberg,NA,NA,118 min,Dramas, International Movies, Thrillers,PG-13,7/12/1905,s3392,The Command,Movie,3392
Lily James, Armie Hammer, Kristin Scott Thomas,United Kingdom,NA,NA,NA,10/21/2020,Ben Wheatley,NA,NA,123 min,Dramas, Romantic Movies, Thrillers,PG-13,7/14/1905,s1815,Rebecca,Movie,1815
Jim Norton, Rupert Evans, Ben Robson,United States, Canada, China,NA,6/1/2020,William Brent Bell,NA,NA,97 min,Horror Movies, Independent Movies, Thrillers,PG-13,7/10/1905,s8222,The Boy,Movie,8222
Patrick Fabian, Ashley Bell, Iris Bahr,France, United States,NA,NA,9/1/2019,Daniel Stamm,NA,NA,88 min,Horror Movies, Independent Movies, Thrillers,PG-13,7/4/1905,s8385,The Last Exorcism,Movie,8385
Narges Rashidi, Avin Manshadi, Bobby Naderi,United Kingdom, Jordan, Qatar, Iran,1/7/2017,Babak Anvari,NA,NA,84 min,Horror Movies, International Movies, Thrillers,PG-13,7/10/1905,s5642,Under the Shadow,Movie,5642
Mandy Moore, Claire Holt, Matthew Modine,United Kingdom, United States, Dominican Republic,NA,1/10/2018,Johannes Roberts,NA,NA,89 min,Horror Movies, International Movies, Thrillers,PG-13,7/11/1905,s7062,In The Deep,Movie,7062
Lou Taylor Pucci, Chris Pine, Piper Perabo,United States,NA,NA,NA,11/20/2019,Àlex Pastor, David Pastor,NA,85 min,Horror Movies, Sci-Fi & Fantasy, Thrillers,PG-13,7/3/1905,s6425,Carriers,Movie,6425
Warren Christie, Lloyd Owen, Ryan Robbins,United States, Canada,NA,NA,3/9/2019,Gonzalo López-Gallego,NA,NA,87 min,Horror Movies, Sci-Fi & Fantasy, Thrillers,PG-13,7/5/1905,s6181,Apollo 18,Movie,6181
Kiersey Clemons, Emory Cohen, Hanna Mangan Lawrence,United States,NA,NA,NA,12/25/2019,J.D. Dillard,NA,NA,83 min,Horror Movies, Sci-Fi & Fantasy, Thrillers,PG-13,7/13/1905,s3103,Sweetheart,Movie,3103
Robert Downey Jr., Jude Law, Rachel McAdams,United States, Germany, United Kingdom, Australia,1/1/2021,Guy Ritchie,NA,NA,128 min,Action & Adventure, Comedies,NA,PG-13,7/3/1905,s8004,Sherlock Holmes,Movie,8004
Jackie Chan, Johnny Knoxville, Fan Bingbing,China, Hong Kong, United States,NA,7/4/2019,Renny Harlin,NA,NA,107 min,Action & Adventure, Comedies,NA,PG-13,7/10/1905,s8033,Skiptrace,Movie,8033
Chris Farley, Nicollette Sheridan, Robin Shou,United States,NA,NA,NA,2/1/2021,Dennis Dugan,NA,NA,89 min,Action & Adventure, Comedies,NA,PG-13,6/21/1905,s1354,Beverly Hills Ninja,Movie,1354
Martin Lawrence, Luke Wilson, Peter Greene,Germany, United States,NA,NA,1/1/2021,Les Mayfield,NA,NA,94 min,Action & Adventure, Comedies,NA,PG-13,6/23/1905,s6344,Blue Streak,Movie,6344
Jackie Chan, Jennifer Love Hewitt, Jason Isaacs,United States,NA,NA,NA,11/1/2019,Kevin Donovan,NA,NA,99 min,Action & Adventure, Comedies,NA,PG-13,6/26/1905,s8541,The Tuxedo,Movie,8541
Cameron Diaz, Drew Barrymore, Lucy Liu,United States,NA,NA,NA,10/1/2019,McG,NA,NA,106 min,Action & Adventure, Comedies,NA,PG-13,6/27/1905,s6448,Charlie's Angels: Full Throttle,Movie,6448
George Clooney, Brad Pitt, Matt Damon,United States,NA,NA,NA,10/1/2019,Steven Soderbergh,NA,NA,125 min,Action & Adventure, Comedies,NA,PG-13,6/28/1905,s7640,Ocean's Twelve,Movie,7640
Anthony Anderson, Jay Mohr, Kellita Smith,United States, Canada,NA,NA,11/1/2019,Jeffrey W. Byrd,NA,NA,98 min,Action & Adventure, Comedies,NA,PG-13,6/29/1905,s7209,King's Ransom,Movie,7209
Johnny Knoxville, Seann William Scott, Jessica Simpson,United States,NA,NA,NA,1/1/2020,Jay Chandrasekhar,NA,NA,104 min,Action & Adventure, Comedies,NA,PG-13,6/29/1905,s8285,The Dukes of Hazzard,Movie,8285
George Clooney, Brad Pitt, Matt Damon,United States,NA,NA,NA,10/1/2019,Steven Soderbergh,NA,NA,122 min,Action & Adventure, Comedies,NA,PG-13,7/1/1905,s7639,Ocean's Thirteen,Movie,7639
Cedric the Entertainer, Lucy Liu, Nicollette Sheridan,United States,NA,NA,NA,11/1/2019,Les Mayfield,NA,NA,91 min,Action & Adventure, Comedies,NA,PG-13,7/1/1905,s6512,Code Name: The Cleaner,Movie,6512
Steve Carell, Anne Hathaway, Dwayne Johnson,United States,NA,NA,NA,4/1/2019,Peter Segal,NA,NA,110 min,Action & Adventure, Comedies,NA,PG-13,7/2/1905,s6843,Get Smart,Movie,6843
Will Ferrell, Mark Wahlberg, Eva Mendes,United States,NA,NA,NA,2/1/2020,Adam McKay,NA,NA,108 min,Action & Adventure, Comedies,NA,PG-13,7/4/1905,s8446,The Other Guys,Movie,8446
Seth Rogen, Jay Chou, Cameron Diaz,United States,NA,NA,NA,4/18/2020,Michel Gondry,NA,NA,119 min,Action & Adventure, Comedies,NA,PG-13,7/5/1905,s8336,The Green Hornet,Movie,8336
Hailee Steinfeld, Jessica Alba, Samuel L. Jackson,United States,NA,NA,NA,7/26/2018,Kyle Newman,NA,NA,99 min,Action & Adventure, Comedies,NA,PG-13,7/9/1905,s6245,Barely Lethal,Movie,6245
Melissa McCarthy, Octavia Spencer, Jason Bateman,United States,NA,NA,NA,4/9/2021,Ben Falcone,NA,NA,107 min,Action & Adventure, Comedies,NA,PG-13,7/15/1905,s1089,Thunder Force,Movie,1089
Patrick Swayze, C. Thomas Howell, Lea Thompson,United States,NA,NA,NA,12/31/2019,John Milius,NA,NA,114 min,Action & Adventure, Cult Movies,NA,PG-13,6/8/1905,s7845,Red Dawn,Movie,7845
Harrison Ford, Liam Neeson, Peter Sarsgaard,United Kingdom, Germany, Canada, United States,11/21/2019,Kathryn Bigelow,NA,NA,138 min,Action & Adventure, Dramas,NA,PG-13,6/26/1905,s7157,K-19: The Widowmaker,Movie,7157
Nicolas Cage, Michael Peña, Maggie Gyllenhaal,United States,NA,NA,NA,11/20/2019,Oliver Stone,NA,NA,129 min,Action & Adventure, Dramas,NA,PG-13,6/30/1905,s8758,World Trade Center,Movie,8758
Michael Gross, Jon Heder, Caroline Langrishe,United States,NA,NA,NA,10/20/2020,Don Michael Paul,NA,NA,102 min,Action & Adventure, Horror Movies,NA,PG-13,7/14/1905,s1817,Tremors: Shrieker Island,Movie,1817
Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones,United States, Germany, Mexico,NA,1/1/2020,Martin Campbell,NA,NA,138 min,Action & Adventure, Romantic Movies,NA,PG-13,6/22/1905,s8414,The Mask of Zorro,Movie,8414
Michelle Yeoh, Donnie Yen, Harry Shum Jr.,China, United States,NA,NA,2/26/2016,Yuen Wo-Ping,NA,NA,101 min,Action & Adventure, Romantic Movies,NA,PG-13,7/10/1905,s5865,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Movie,5865
Jeff Bridges, Ben Barnes, Julianne Moore,United States, United Kingdom, Canada, China,8/16/2020,Sergei Bodrov,NA,NA,102 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/8/1905,s2122,Seventh Son,Movie,2122
Christian Bale, Sam Worthington, Moon Bloodgood,United States, Germany, United Kingdom, Italy,1/1/2020,McG,NA,NA,115 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/3/1905,s8168,Terminator Salvation,Movie,8168
Heath Ledger, Christopher Plummer, Andrew Garfield,United Kingdom, Canada, France, United States,3/8/2019,Terry Gilliam,NA,NA,123 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/3/1905,s8357,The Imaginarium of Doctor Parnassus,Movie,8357
Sam Worthington, Liam Neeson, Ralph Fiennes,United States, United Kingdom, Australia,NA,8/1/2019,Louis Leterrier,NA,NA,106 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/4/1905,s6493,Clash of the Titans,Movie,6493
Matt Damon, Heath Ledger, Monica Bellucci,United States, Czech Republic, United Kingdom,NA,7/1/2019,Terry Gilliam,NA,NA,119 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,6/29/1905,s8229,The Brothers Grimm,Movie,8229
Sean Connery, Dennis Quaid, David Thewlis,United States,NA,NA,NA,1/1/2020,Rob Cohen,NA,NA,103 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,6/20/1905,s6642,Dragonheart,Movie,6642
Elijah Wood, Ian McKellen, Liv Tyler,New Zealand, United States,NA,NA,1/1/2020,Peter Jackson,NA,NA,179 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,6/26/1905,s8406,The Lord of the Rings: The Two Towers,Movie,8406
Guy Pearce, Samantha Mumba, Jeremy Irons,United States, United Arab Emirates,NA,NA,11/23/2019,Simon Wells,NA,NA,96 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,6/26/1905,s8532,The Time Machine,Movie,8532
Elijah Wood, Ian McKellen, Liv Tyler,New Zealand, United States,NA,NA,1/1/2020,Peter Jackson,NA,NA,201 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,6/27/1905,s8405,The Lord of the Rings: The Return of the King,Movie,8405
Charlize Theron, Marton Csokas, Jonny Lee Miller,United States,NA,NA,NA,2/1/2018,Karyn Kusama,NA,NA,93 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,6/29/1905,s5978,Æon Flux,Movie,5978
Brandon Routh, Kate Bosworth, Kevin Spacey,United States,NA,NA,NA,10/1/2019,Bryan Singer,NA,NA,154 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,6/30/1905,s8129,Superman Returns,Movie,8129
Nicolas Cage, Eva Mendes, Wes Bentley,United States, Australia,NA,NA,10/1/2020,Mark Steven Johnson,NA,NA,110 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/1/1905,s6848,Ghost Rider,Movie,6848
Tobey Maguire, Kirsten Dunst, James Franco,United States,NA,NA,NA,11/1/2019,Sam Raimi,NA,NA,139 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/1/1905,s8068,Spider-Man 3,Movie,8068
Nicolas Cage, Julianne Moore, Jessica Biel,United States,NA,NA,NA,7/1/2019,Lee Tamahori,NA,NA,96 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/1/1905,s7582,Next,Movie,7582
Jackie Chan, Jet Li, Collin Chou,United States, China,NA,NA,7/1/2019,Rob Minkoff,NA,NA,104 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/2/1905,s8308,The Forbidden Kingdom,Movie,8308
John Cusack, Amanda Peet, Chiwetel Ejiofor,United States,NA,NA,NA,4/1/2021,Roland Emmerich,NA,NA,158 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/3/1905,s1114,2012,Movie,1114
Fred Tatasciore, Matthew Wolf, Graham McTavish,United States,NA,NA,NA,6/1/2020,Sam Liu, Frank Paur,NA,83 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/3/1905,s7022,Hulk Vs.,Movie,7022
Eric Balfour, Scottie Thompson, Brittany Daniel,United States,NA,NA,NA,1/16/2019,Colin Strause, Greg Strause,NA,94 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/4/1905,s8036,Skyline,Movie,8036
Nicolas Cage, Ron Perlman, Christopher Lee,United States,NA,NA,NA,4/26/2019,Dominic Sena,NA,NA,95 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/5/1905,s7967,Season of the Witch,Movie,7967
Taylor Kitsch, Lynn Collins, Samantha Morton,United States,NA,NA,NA,5/2/2019,Andrew Stanton,NA,NA,133 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/6/1905,s7137,John Carter,Movie,7137
Mila Kunis, Channing Tatum, Sean Bean,United States, Australia,NA,NA,8/1/2019,Lana Wachowski, Lilly Wachowski,NA,128 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/9/1905,s7152,Jupiter Ascending,Movie,7152
Julian Morris, Tamzin Merchant, Ben Kingsley,United States,NA,NA,NA,1/1/2020,Colin Teague,NA,NA,97 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/9/1905,s6643,Dragonheart 3: The Sorcerer,Movie,6643
Aaron Paul, Lena Headey, Sean Bean,Japan, United States,NA,NA,4/1/2021,Takeshi Nozue,NA,NA,116 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/10/1905,s1121,Kingsglaive: Final Fantasy XV,Movie,1121
Michael Shannon, Joel Edgerton, Kirsten Dunst,United States, Greece,NA,NA,9/7/2020,Jeff Nichols,NA,NA,112 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/10/1905,s7455,Midnight Special,Movie,7455
Tom Rhys Harries, Jessamine-Bliss Bell, Patrick Stewart,United States,NA,NA,NA,6/13/2017,Patrik Syversen,NA,NA,98 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/11/1905,s6645,Dragonheart: Battle for the Heartfire,Movie,6645
Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl,United States,NA,NA,NA,2/5/2018,Julius Onah,NA,NA,102 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/12/1905,s5048,The Cloverfield Paradox,Movie,5048
Zach McGowan, Pearl Thusi, Nathan Jones,United States,NA,NA,NA,10/23/2018,Don Michael Paul,NA,NA,102 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/12/1905,s4485,Scorpion King 5: Book of Souls,Movie,4485
Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o,United States,NA,NA,NA,9/4/2018,Ryan Coogler,NA,NA,135 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/12/1905,s6326,Black Panther,Movie,6326
Robert Downey Jr., Josh Brolin, Mark Ruffalo,United States,NA,NA,NA,12/25/2018,Anthony Russo, Joe Russo,NA,150 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/12/1905,s6201,Avengers: Infinity War,Movie,6201
Joseph Millson, Jack Kane, Helena Bonham Carter,United States,NA,NA,NA,2/4/2020,Ivan Silvestrini,NA,NA,97 min,Action & Adventure, Sci-Fi & Fantasy,NA,PG-13,7/14/1905,s2951,Dragonheart: Vengeance,Movie,2951
Vin Diesel, Asia Argento, Marton Csokas,United States,NA,NA,NA,1/1/2019,Rob Cohen,NA,NA,124 min,Action & Adventure, Sports Movies,NA,PG-13,6/26/1905,s8767,XXx,Movie,8767
Liam Neeson, Diane Kruger, January Jones,United Kingdom, Germany, France, United States,1/1/2021,Jaume Collet-Serra,NA,NA,113 min,Action & Adventure, Thrillers,NA,PG-13,7/5/1905,s1468,Unknown,Movie,1468
Daniel Craig, Judi Dench, Eva Green,United Kingdom, Czech Republic, United States, Germany,8/31/2020,Martin Campbell,NA,NA,145 min,Action & Adventure,NA,NA,PG-13,6/30/1905,s6428,Casino Royale,Movie,6428
Kevin Costner, Amber Heard, Hailee Steinfeld,United States, France, Serbia,NA,12/1/2020,McG,NA,NA,117 min,Action & Adventure,NA,NA,PG-13,7/8/1905,s1609,3 Days to Kill,Movie,1609
Tom Selleck, Laura San Giacomo, Alan Rickman,Australia, United States,NA,NA,12/1/2020,Simon Wincer,NA,NA,120 min,Action & Adventure,NA,NA,PG-13,6/14/1905,s1622,Quigley Down Under,Movie,1622
Meryl Streep, Kevin Bacon, David Strathairn,United States,NA,NA,NA,9/1/2018,Curtis Hanson,NA,NA,111 min,Action & Adventure,NA,NA,PG-13,6/18/1905,s8490,The River Wild,Movie,8490
Kevin Costner, Dennis Quaid, Gene Hackman,United States,NA,NA,NA,1/1/2020,Lawrence Kasdan,NA,NA,191 min,Action & Adventure,NA,NA,PG-13,6/18/1905,s8765,Wyatt Earp,Movie,8765
Pierce Brosnan, Sean Bean, Izabella Scorupco,United Kingdom, United States,NA,NA,12/31/2019,Martin Campbell,NA,NA,130 min,Action & Adventure,NA,NA,PG-13,6/19/1905,s6867,GoldenEye,Movie,6867
Pierce Brosnan, Jonathan Pryce, Michelle Yeoh,United Kingdom, United States,NA,NA,12/31/2019,Roger Spottiswoode,NA,NA,119 min,Action & Adventure,NA,NA,PG-13,6/21/1905,s8604,Tomorrow Never Dies,Movie,8604
Pierce Brosnan, Linda Hamilton, Elizabeth Hoffman,United States,NA,NA,NA,9/1/2019,Roger Donaldson,NA,NA,108 min,Action & Adventure,NA,NA,PG-13,6/21/1905,s6563,Dante's Peak,Movie,6563
Pierce Brosnan, Sophie Marceau, Robert Carlyle,United Kingdom, United States,NA,NA,12/31/2019,Michael Apted,NA,NA,128 min,Action & Adventure,NA,NA,PG-13,6/23/1905,s8565,The World Is Not Enough,Movie,8565
Pierce Brosnan, Halle Berry, Toby Stephens,United Kingdom, United States,NA,NA,12/31/2019,Lee Tamahori,NA,NA,133 min,Action & Adventure,NA,NA,PG-13,6/26/1905,s6610,Die Another Day,Movie,6610
Samuel L. Jackson, Colin Farrell, Michelle Rodriguez,United States,NA,NA,NA,1/1/2021,Clark Johnson,NA,NA,117 min,Action & Adventure,NA,NA,PG-13,6/27/1905,s7913,S.W.A.T.,Movie,7913
Ice Cube, Samuel L. Jackson, Willem Dafoe,United States,NA,NA,NA,1/1/2019,Lee Tamahori,NA,NA,101 min,Action & Adventure,NA,NA,PG-13,6/29/1905,s8768,XXX: State of the Union,Movie,8768
Bruce Willis, Mos Def, David Morse,United States, Germany,NA,NA,11/1/2019,Richard Donner,NA,NA,102 min,Action & Adventure,NA,NA,PG-13,6/30/1905,s5993,16 Blocks,Movie,5993
Daniel Craig, Olga Kurylenko, Mathieu Amalric,United Kingdom, United States,NA,NA,8/31/2020,Marc Forster,NA,NA,106 min,Action & Adventure,NA,NA,PG-13,7/2/1905,s7810,Quantum of Solace,Movie,7810
Steven Strait, Camilla Belle, Cliff Curtis,United States, South Africa,NA,NA,6/1/2019,Roland Emmerich,NA,NA,109 min,Action & Adventure,NA,NA,PG-13,7/2/1905,s5982,"10,000 B.C.",Movie,5982
Dennis Quaid, Matthew Fox, Forest Whitaker,United States,NA,NA,NA,11/1/2019,Pete Travis,NA,NA,90 min,Action & Adventure,NA,NA,PG-13,7/2/1905,s8671,Vantage Point,Movie,8671
Matt Dillon, Paul Walker, Chris Brown,United States,NA,NA,NA,4/1/2021,John Luessenhop,NA,NA,107 min,Action & Adventure,NA,NA,PG-13,7/4/1905,s1136,Takers,Movie,1136
Luciano Acuna Jr., Adam Rayner, Marie Avgeropoulos,United States,NA,NA,NA,10/22/2019,Daniel Benmayor,NA,NA,94 min,Action & Adventure,NA,NA,PG-13,7/9/1905,s8611,Tracers,Movie,8611
Toby Kebbell, Maggie Grace, Ryan Kwanten,United Kingdom, United States,NA,NA,9/26/2018,Rob Cohen,NA,NA,103 min,Action & Adventure,NA,NA,PG-13,7/12/1905,s8355,The Hurricane Heist,Movie,8355
Anne Watanabe, Yutaka Matsushige, Gaku Hamada,Japan,NA,NA,NA,10/1/2017,Keiichi Hara,NA,NA,90 min,Anime Features,NA,NA,PG-13,7/9/1905,s7465,Miss Hokusai,Movie,7465
Danny Trejo, Reno Wilson, Margaret Avery,United States,NA,NA,NA,12/25/2019,Ron Oliver,NA,NA,96 min,Children & Family Movies, Comedies,NA,PG-13,7/13/1905,s3100,Grand-Daddy Day Care,Movie,3100
James Dean, Natalie Wood, Sal Mineo,United States,NA,NA,NA,11/1/2019,Nicholas Ray,NA,NA,111 min,Classic Movies, Dramas,NA,PG-13,5/10/1905,s7840,Rebel Without a Cause,Movie,7840
Leslie Nielsen, Priscilla Presley, George Kennedy,United States,NA,NA,NA,1/1/2021,David Zucker,NA,NA,85 min,Comedies, Cult Movies,NA,PG-13,6/12/1905,s8435,The Naked Gun: From the Files of Police Squad!,Movie,8435
Mike Judge, Bruce Willis, Demi Moore,United States,NA,NA,NA,11/20/2019,Mike Judge,NA,NA,81 min,Comedies, Cult Movies,NA,PG-13,6/20/1905,s6267,Beavis and Butt-head Do America,Movie,6267
Will Ferrell, Chris Kattan, Dan Hedaya,United States,NA,NA,NA,12/1/2019,John Fortenberry,NA,NA,82 min,Comedies, Cult Movies,NA,PG-13,6/22/1905,s6050,A Night at the Roxbury,Movie,6050
Emma Thompson, Tom Hanks, Paul Giamatti,United States, United Kingdom, Australia,NA,3/2/2019,John Lee Hancock,NA,NA,126 min,Comedies, Dramas,NA,PG-13,7/7/1905,s7950,Saving Mr. Banks,Movie,7950
Sandra Bullock, Viggo Mortensen, Dominic West,United States,NA,NA,NA,9/30/2020,Betty Thomas,NA,NA,104 min,Comedies, Dramas,NA,PG-13,6/24/1905,s6007,28 Days,Movie,6007
Jack Nicholson, Morgan Freeman, Sean Hayes,United States,NA,NA,NA,10/1/2019,Rob Reiner,NA,NA,97 min,Comedies, Dramas,NA,PG-13,7/1/1905,s8230,The Bucket List,Movie,8230
Meryl Streep, Amy Adams, Stanley Tucci,United States,NA,NA,NA,1/1/2021,Nora Ephron,NA,NA,123 min,Comedies, Dramas,NA,PG-13,7/3/1905,s7148,Julie & Julia,Movie,7148
Logan Lerman, Emma Watson, Ezra Miller,United States,NA,NA,NA,4/1/2020,Stephen Chbosky,NA,NA,103 min,Comedies, Dramas,NA,PG-13,7/6/1905,s8452,The Perks of Being a Wallflower,Movie,8452
Simon Rex, Ashley Tisdale, Charlie Sheen,United States,NA,NA,NA,8/12/2020,Malcolm D. Lee,NA,NA,88 min,Comedies, Horror Movies,NA,PG-13,7/7/1905,s7957,Scary Movie 5,Movie,7957
Adam Sandler, Kevin James, Julie Bowen,United States,NA,NA,NA,10/7/2020,Steve Brill,NA,NA,104 min,Comedies, Horror Movies,NA,PG-13,7/14/1905,s1880,Hubie Halloween,Movie,1880
Jaden Michael, Gerald W. Jones III, Gregory Diaz IV,United States,NA,NA,NA,10/2/2020,Oz Rodriguez,NA,NA,86 min,Comedies, Horror Movies,NA,PG-13,7/14/1905,s1901,Vampires vs. the Bronx,Movie,1901
Jason Schwartzman, Lena Dunham, Reggie Watts,United States,NA,NA,NA,1/23/2018,Dash Shaw,NA,NA,77 min,Comedies, Independent Movies,NA,PG-13,7/10/1905,s7536,My Entire High School Sinking Into the Sea,Movie,7536
Michael Shannon, Judy Greer, Thomas Lennon,United States,NA,NA,NA,12/15/2017,Seth Henrikson,NA,NA,86 min,Comedies, Independent Movies,NA,PG-13,7/11/1905,s5124,Pottersville,Movie,5124
Rowan Atkinson, Peter MacNicol, John Mills,United Kingdom, United States,NA,NA,8/1/2018,Mel Smith,NA,NA,89 min,Comedies, International Movies,NA,PG-13,6/21/1905,s6261,Bean: The Ultimate Disaster Movie,Movie,6261
Sunny Deol, Bobby Deol, Shreyas Talpade,India,NA,NA,NA,11/27/2017,Shreyas Talpade,NA,NA,128 min,Comedies, International Movies,NA,PG-13,7/11/1905,s5152,Poster Boys,Movie,5152
Jennifer Aniston, Kevin Costner, Shirley MacLaine,United States, Germany, Australia,NA,8/1/2019,Rob Reiner,NA,NA,97 min,Comedies, Romantic Movies,NA,PG-13,6/29/1905,s7902,Rumor Has It,Movie,7902
Anna Faris, Ty Olsson, Julie Hagerty,Germany, United States, Canada,NA,9/1/2019,Roger Kumble,NA,NA,94 min,Comedies, Romantic Movies,NA,PG-13,6/29/1905,s7153,Just Friends,Movie,7153
Emma Roberts, Kimberley Nixon, Juno Temple,United States, United Kingdom, France,NA,4/2/2021,Nick Moore,NA,NA,98 min,Comedies, Romantic Movies,NA,PG-13,7/2/1905,s1112,Wild Child,Movie,1112
Jack Nicholson, Helen Hunt, Greg Kinnear,United States,NA,NA,NA,1/1/2020,James L. Brooks,NA,NA,139 min,Comedies, Romantic Movies,NA,PG-13,6/21/1905,s6189,As Good as It Gets,Movie,6189
Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo,United States,NA,NA,NA,1/1/2021,Harry Elfont, Deborah Kaplan,NA,101 min,Comedies, Romantic Movies,NA,PG-13,6/22/1905,s6415,Can't Hardly Wait,Movie,6415
Meg Ryan, Hugh Jackman, Liev Schreiber,United States,NA,NA,NA,1/1/2020,James Mangold,NA,NA,118 min,Comedies, Romantic Movies,NA,PG-13,6/25/1905,s7171,Kate & Leopold,Movie,7171
